DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.21883432070414224,3225,10000
0.3603216807047526,6595,20000
0.502565066019694,9865,30000
0.6166383425394694,13060,40000
0.7309001286824545,16380,50000
0.8359922568003336,19580,60000
0.7863415877024332,23020,70000
1.034964640935262,26355,80000
1.1561976273854573,29800,90000
1.2892433802286785,33290,100000
