DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.42386507987976074,1125,10000
0.46912344296773273,2255,20000
0.5463589827219645,3370,30000
0.6174232959747314,4430,40000
0.733380397160848,5570,50000
0.8210737705230713,6670,60000
0.8853782812754313,7730,70000
0.9782170454661051,8865,80000
1.1510714689890544,10020,90000
1.2100067615509033,11130,100000
