DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
1.222910537958145,1,10000
1.121473032951355,1,9000
0.98554460978508,1,8000
0.883610435962677,1,7000
0.7681679358482361,1,6000
0.6521791632175445,1,5000
0.5467625179290772,1,4000
0.39668835163116456,1,3000
0.2971287660598755,1,2000
0.18093333101272582,1,1000
