DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.06877001126607259,3275,10000
0.0820772647857666,6570,20000
0.09697620073954265,10020,30000
0.11869510014851888,13320,40000
0.12549066543579102,16725,50000
0.1413573424021403,20125,60000
0.17510620752970377,23470,70000
0.1896981398264567,26735,80000
0.20630439122517905,30155,90000
0.2180004914601644,33390,100000
