DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.06990091005961101,3420,10000
0.09014828999837239,6760,20000
0.10206834475199382,10235,30000
0.13036290804545084,13500,40000
0.1483771006266276,16905,50000
0.1571335792541504,20240,60000
0.17398746808369955,23530,70000
0.1891630490620931,26880,80000
0.20828469594319662,30195,90000
0.2286385695139567,33305,100000
