DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.24223836263020834,1125,10000
0.3416733741760254,2255,20000
0.5781021118164062,3370,30000
0.6927065054575602,4430,40000
0.6886906623840332,5570,50000
0.6230674902598063,6670,60000
0.6299544175465902,7730,70000
0.6525452931722006,8865,80000
0.714560349782308,10020,90000
0.766022682189941,11130,100000
