DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.4311039447784424,3225,10000
0.9099132219950358,6595,20000
1.1558696428934734,9865,30000
2.1936816374460855,13060,40000
2.8980583349863687,16380,50000
2.9145039717356362,19580,60000
3.7791046301523843,23020,70000
3.8655879497528076,26355,80000
4.996900796890259,29800,90000
5.211285909016927,33290,100000
