DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
4.773104031880696,1125,10000
10.45469037691752,2255,20000
15.394152084986368,3370,30000
19.518265962600708,4430,40000
25.499648729960125,5570,50000
30.636096000671387,6670,60000
35.7094152768453,7730,70000
41.57750733693441,8865,80000
45.95153474807739,10020,90000
49.8668958346049,11130,100000
