DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.06703676438331599,1,100000
0.0672527792692184,1,90000
0.06738497352600094,1,80000
0.06740532438755031,1,70000
0.0671557092428207,1,60000
0.06850662102699276,1,50000
0.06768017926216122,1,40000
0.06797243459224697,1,30000
0.06734289686679834,1,20000
0.06673368322849269,1,10000
