DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
0.029257965087890626,1,10000
0.029704809188842773,1,20000
0.029571795463562013,1,30000
0.029633474349975587,1,40000
0.029369354248046875,1,50000
0.029646539688110353,1,60000
0.032556581497192386,1,70000
0.027634191513061523,1,80000
0.030530762672424317,1,90000
0.03310563564300537,1,100000
