DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
13.714598417282104,3275,10000
28.223118782043457,6570,20000
42.21346195538839,10020,30000
55.524781942367554,13320,40000
69.411128282547,16725,50000
84.47220754623413,20125,60000
100.72032833099365,23470,70000
111.66522487004598,26735,80000
126.0782397588094,30155,90000
137.87520035107931,33390,100000
