DurationTime,NumberOfProcessedDatasets,NumberOfDatasetsInDatabase
14.390311002731323,3420,10000
34.98807096481323,6760,20000
49.444102923075356,10235,30000
63.51587947209676,13500,40000
78.28038708368938,16905,50000
92.0575209458669,20240,60000
110.74366434415181,23530,70000
118.43134435017903,26880,80000
126.61011187235515,30195,90000
143.51997979482016,33305,100000
